[INFO] - 2025-01-07 16:02:26 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:02:26 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:02:26 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:02:42 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:05:13 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:05:13 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:05:13 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:05:24 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:05:29 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:05:29 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:05:29 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:05:37 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:05:52 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:05:52 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:05:52 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:05:59 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:06:10 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:06:10 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:06:10 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:06:29 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:06:55 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:06:55 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:06:55 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:07:12 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:07:20 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:07:20 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:07:20 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:07:37 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:20:42 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:20:42 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
[INFO] - 2025-01-07 16:20:42 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for prospects
[INFO] - 2025-01-07 16:21:24 | Class : logs.LogManager | Method : stop() | Message : Software stopped !
[INFO] - 2025-01-07 16:22:46 | Class : logs.LogManager | Method : run() | Message : Software running...
[INFO] - 2025-01-07 16:22:46 | Class : utilities.Files | Method : dbCreate() | Message : DB File already exists for clients
